2025-02-07 20:19:13,692 - INFO - Running conjugate priors for file: 10_100_1
2025-02-07 20:19:13,693 - INFO - Number of biomarkers: 10
2025-02-07 20:19:15,673 - INFO - Iteration 200/2000, Acceptance Ratio: 5.50%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:16,993 - INFO - Iteration 400/2000, Acceptance Ratio: 2.75%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:18,312 - INFO - Iteration 600/2000, Acceptance Ratio: 1.83%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:19,649 - INFO - Iteration 800/2000, Acceptance Ratio: 1.38%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:21,038 - INFO - Iteration 1000/2000, Acceptance Ratio: 1.10%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:22,355 - INFO - Iteration 1200/2000, Acceptance Ratio: 0.92%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:23,676 - INFO - Iteration 1400/2000, Acceptance Ratio: 0.79%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:25,008 - INFO - Iteration 1600/2000, Acceptance Ratio: 0.69%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:26,327 - INFO - Iteration 1800/2000, Acceptance Ratio: 0.61%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:27,648 - INFO - Iteration 2000/2000, Acceptance Ratio: 0.55%, Log Likelihood: -2718.3645, Current Accepted Order: dict_values([8, 6, 2, 1, 5, 9, 10, 3, 4, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 154.76950170213973, 'theta_std': 21.102971932819454, 'phi_mean': 269.8452326420229, 'phi_std': 38.688494599984566}), ('ADAS (6)', {'theta_mean': -17.12658021011728, 'theta_std': 5.882317689073671, 'phi_mean': -10.634973507087562, 'phi_std': 7.058728540735672}), ('AVLT-Sum (8)', {'theta_mean': 28.80052973193457, 'theta_std': 13.075511643574346, 'phi_mean': 47.46657465304051, 'phi_std': 12.86667470526529}), ('FUS-FCI (10)', {'theta_mean': -12.32035327997749, 'theta_std': 7.062824398489514, 'phi_mean': -9.924761910943149, 'phi_std': 3.6188337093292184}), ('FUS-GMI (9)', {'theta_mean': 0.56498199756815, 'theta_std': 0.08416104931636004, 'phi_mean': 0.6054901482776642, 'phi_std': 0.06865172497153517}), ('HIP-FCI (1)', {'theta_mean': -5.2527697843303445, 'theta_std': 6.649086557457533, 'phi_mean': -4.439672966469497, 'phi_std': 8.466855545580687}), ('HIP-GMI (7)', {'theta_mean': 0.37280094008886516, 'theta_std': 0.10810457848823206, 'phi_mean': 0.34195331921784494, 'phi_std': 0.2811313372124867}), ('MMSE (5)', {'theta_mean': 21.854442837575505, 'theta_std': 2.8198428527594777, 'phi_mean': 28.041785953956147, 'phi_std': 0.68469271347527}), ('P-Tau (4)', {'theta_mean': -42.17965300521632, 'theta_std': 32.821950982344575, 'phi_mean': -27.84443771956012, 'phi_std': 18.047958587730108}), ('PCC-FCI (2)', {'theta_mean': 3.8882452963034173, 'theta_std': 3.3444067323428324, 'phi_mean': 8.106601128546998, 'phi_std': 5.021328827926414})]) 
2025-02-07 20:19:27,833 - INFO - Results saved to conjugate_priors/results/10_100_1_results.json
