2025-02-07 20:18:50,430 - INFO - Running conjugate priors for file: 25_50_0
2025-02-07 20:18:50,431 - INFO - Number of biomarkers: 10
2025-02-07 20:18:51,711 - INFO - Iteration 200/2000, Acceptance Ratio: 6.50%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:52,311 - INFO - Iteration 400/2000, Acceptance Ratio: 3.25%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:52,912 - INFO - Iteration 600/2000, Acceptance Ratio: 2.17%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:53,513 - INFO - Iteration 800/2000, Acceptance Ratio: 1.62%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:54,112 - INFO - Iteration 1000/2000, Acceptance Ratio: 1.30%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:54,712 - INFO - Iteration 1200/2000, Acceptance Ratio: 1.08%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:55,315 - INFO - Iteration 1400/2000, Acceptance Ratio: 0.93%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:55,917 - INFO - Iteration 1600/2000, Acceptance Ratio: 0.81%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:56,517 - INFO - Iteration 1800/2000, Acceptance Ratio: 0.72%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:57,114 - INFO - Iteration 2000/2000, Acceptance Ratio: 0.65%, Log Likelihood: -1242.2956, Current Accepted Order: dict_values([5, 2, 4, 3, 6, 9, 7, 10, 8, 1]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 146.45335644887209, 'theta_std': 19.3954793527277, 'phi_mean': 258.942943990343, 'phi_std': 54.97080045203332}), ('ADAS (6)', {'theta_mean': -20.7008015932721, 'theta_std': 5.1488776392836, 'phi_mean': -6.155806732260018, 'phi_std': 1.5591095519034535}), ('AVLT-Sum (8)', {'theta_mean': 21.378867495466384, 'theta_std': 4.891443916996063, 'phi_mean': 35.0247404430285, 'phi_std': 14.481578573865614}), ('FUS-FCI (10)', {'theta_mean': -11.752514391026478, 'theta_std': 5.437710932415301, 'phi_mean': -9.672660559937215, 'phi_std': 2.815792441249675}), ('FUS-GMI (9)', {'theta_mean': 0.509550173113831, 'theta_std': 0.05358632168791157, 'phi_mean': 0.5879137860870484, 'phi_std': 0.06511924418441091}), ('HIP-FCI (1)', {'theta_mean': -5.430040058787125, 'theta_std': 8.341946940174436, 'phi_mean': 5.202933892223931, 'phi_std': 1.8480370446887806}), ('HIP-GMI (7)', {'theta_mean': 0.3150953797347791, 'theta_std': 0.32214058409228474, 'phi_mean': 0.3514492873830694, 'phi_std': 0.2217236106400287}), ('MMSE (5)', {'theta_mean': 21.34741235343322, 'theta_std': 3.397762458767486, 'phi_mean': 26.932440323296092, 'phi_std': 2.681517000219431}), ('P-Tau (4)', {'theta_mean': -44.966395222224186, 'theta_std': 31.56576031095993, 'phi_mean': -24.739560182700718, 'phi_std': 14.729131742638767}), ('PCC-FCI (2)', {'theta_mean': 5.394826991421099, 'theta_std': 2.658424559777825, 'phi_mean': 10.83027454543304, 'phi_std': 4.038145389122839})]) 
2025-02-07 20:18:57,297 - INFO - Results saved to conjugate_priors/results/25_50_0_results.json
