2025-02-07 20:02:50,500 - INFO - Running soft kmeans for file: 10_100_1
2025-02-07 20:02:50,501 - INFO - Number of biomarkers: 10
2025-02-07 20:02:52,827 - INFO - Iteration 200/2000, Acceptance Ratio: 50.50%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:02:54,505 - INFO - Iteration 400/2000, Acceptance Ratio: 52.25%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:02:56,100 - INFO - Iteration 600/2000, Acceptance Ratio: 50.50%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:02:57,763 - INFO - Iteration 800/2000, Acceptance Ratio: 52.50%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:02:59,402 - INFO - Iteration 1000/2000, Acceptance Ratio: 51.20%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:03:01,016 - INFO - Iteration 1200/2000, Acceptance Ratio: 51.25%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:03:02,637 - INFO - Iteration 1400/2000, Acceptance Ratio: 50.50%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:03:04,240 - INFO - Iteration 1600/2000, Acceptance Ratio: 50.31%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:03:05,913 - INFO - Iteration 1800/2000, Acceptance Ratio: 50.61%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:03:07,635 - INFO - Iteration 2000/2000, Acceptance Ratio: 51.00%, Log Likelihood: -2450.0946, Current Accepted Order: dict_values([1, 2, 3, 8, 5, 6, 4, 10, 9, 7]), Current Theta and Phi Parameters: dict_items([('AB (3)', {'theta_mean': 151.58040952694003, 'theta_std': 18.19087869785369, 'phi_mean': 253.8442381178808, 'phi_std': 47.10488749245114}), ('ADAS (6)', {'theta_mean': -19.861086857827836, 'theta_std': 3.28543247043603, 'phi_mean': -5.874015086156963, 'phi_std': 1.3873830866764916}), ('AVLT-Sum (8)', {'theta_mean': 18.25033402123701, 'theta_std': 2.439080761976449, 'phi_mean': 35.86199529245829, 'phi_std': 15.69886079321759}), ('FUS-FCI (10)', {'theta_mean': -13.428501114333368, 'theta_std': 7.406563085669553, 'phi_mean': -9.689400547408347, 'phi_std': 3.512503096527163}), ('FUS-GMI (9)', {'theta_mean': 0.6537975994192683, 'theta_std': 0.060843448505521806, 'phi_mean': 0.5791360541801814, 'phi_std': 0.07896692616349242}), ('HIP-FCI (1)', {'theta_mean': -5.634470822891053, 'theta_std': 7.8379828505271405, 'phi_mean': 4.0368366513141485, 'phi_std': 1.9821298639086995}), ('HIP-GMI (7)', {'theta_mean': 0.27297610504303377, 'theta_std': 0.27281870908573724, 'phi_mean': 0.43769255022227177, 'phi_std': 0.2456347186654716}), ('MMSE (5)', {'theta_mean': 21.814674411244635, 'theta_std': 2.7369214047777968, 'phi_mean': 28.078495270569256, 'phi_std': 0.6585605717709008}), ('P-Tau (4)', {'theta_mean': -79.06775146725077, 'theta_std': 15.456515943929391, 'phi_mean': -29.93746942801992, 'phi_std': 26.636451680322715}), ('PCC-FCI (2)', {'theta_mean': 4.532011251399573, 'theta_std': 3.3105179157083273, 'phi_mean': 13.318030232006983, 'phi_std': 3.3057971841495055})]) 
2025-02-07 20:03:07,834 - INFO - Results saved to soft_kmeans/results/10_100_1_results.json
